# Problem Instance 19

# Nodes
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

# Origins
set O := 3 11 ;

# Existing Arcs
set A := 
(1,2) (2,1) (2,3) (3,2) (1,4) (4,1) 
(5,4) (5,6) (6,5) (3,6) (6,3) (3,7) (7,3) 
(4,9) (9,4) (5,10)  (8,9) (9,8) (9,10) (10,9) 
(8,11) (11,8) (9,12) (12,9) (10,13) (13,10) 
(6,14) (14,6) (11,12) (12,11) (12,13) (13,12) 
(13,14)  (7,14) (14,7) (12,15) (15,12) (13,15) 
(15,16) (13,17) (17,13) (16,17) (17,16) (17,18) 
(18,17) (14,18) (18,14) (7,19) (18,21)  (17,20) 
(20,17) (20,21) (21,20) (16,22) (22,16) (11,22) 
(22,11) (20,22) (22,20) (19,24) (24,19) (21,24) 
(24,21) (20,23) (23,20) (22,23) (23,22) (23,24) 
(24,23);

# Potential Arcs
set Ahat :=
	(1,  2)
	(2,  3)
	(4,  5)
	(10, 5)
	(14, 13)
	(15, 13)
	(16, 15)
	(19, 7)
	(22, 23)
;

param RHO:= 1000;

	 
# Coordinates of nodes 
param: 	XC 	YC := 	
	1	2	1
	2	3	1
	3	4	1
	4	2	2
	5	3	2
	6	4	2
	7	5	2
	8	1	3
	9	2	3
	10	3	3
	11	1	4
	12	2	4
	13	3	4
	14	4	4
	15	2.5	5
	16	2	6
	17	3	6
	18	4	6
	19	5	6
	20	3	7
	21	4	7
	22	1	8
	23	3	8
	24	4	8
;

#right hand side terms of flow constraints
param T default 0: 3 11 :=
# Origins
3 	0	500
11	500	0
# Destinations
5	-50	-50
8	-50	-50
12	-50	-50
13	-50	-50
14	-50	-50
17	-50	-50
18	-50	-50
19	-50	-50
21	-50	-50
23	-50	-50
;

