Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_afiro.mat,51,27,1377,102,true,51,27,1377,102,19,-464.75278995646346,0.0021257,true,stop_gap_reached,8,-464.7531424264177,0.0006689,true,6,-464.7531428571429,0.0005240440368652344,true
lp_sc50a.mat,78,50,3900,160,true,78,50,3900,160,38,-64.57504759141341,0.0106776,true,stop_gap_reached,10,-64.57507691306816,0.019089,true,27,-64.5750770585645,0.0007801055908203125,true
lp_sc50b.mat,78,50,3900,148,true,78,50,3900,148,39,-69.99996548684192,0.0101279,true,stop_gap_reached,10,-69.99999878553842,0.0008641,true,14,-69.99999999999999,0.0006248950958251953,true
lp_kb2.mat,68,43,2924,313,false,77,52,4004,331,67,-1742.144307043105,0.0179588,true,stop_gap_reached,14,-1749.9001021580057,0.0012237,false,68,-1749.9001299062058,0.0009729862213134766,false
lp_adlittle.mat,138,56,7728,424,true,138,56,7728,424,31,225495.10620067798,0.0143234,true,stop_gap_reached,12,225494.96315590077,0.0192342,true,93,225494.96316238024,0.0013980865478515625,true
lp_blend.mat,114,74,8436,522,true,114,74,8436,522,31,-30.812137989464883,0.020733,true,stop_gap_reached,9,-30.81214858745238,0.0225904,true,93,-30.812149845828216,0.0016179084777832031,true
lp_share2b.mat,162,96,15552,777,true,162,96,15552,777,44,-415.64406421554185,0.0999739,true,stop_small_ρ,11,-415.73223602319155,0.0019297,true,143,-415.73224074141916,0.0021140575408935547,true
lp_sc105.mat,163,105,17115,340,true,163,105,17115,340,61,-51.85185224567532,0.091366,true,stop_gap_reached,12,-52.20206076077895,0.0015951,true,54,-52.20206121170723,0.0011909008026123047,true
lp_stocfor1.mat,165,117,19305,501,true,165,117,19305,501,51,-41131.36078693831,0.148271,true,stop_small_ρ,15,-41131.9762172506,0.0020705,true,59,-41131.97621943641,0.0013840198516845703,true
lp_scagr7.mat,185,129,23865,465,true,185,129,23865,465,80,-2.2853359001884987e6,0.1973653,true,stop_gap_reached,12,-2.331389824260218e6,0.0018357,true,98,-2.3313898243309837e6,0.0016429424285888672,true
