Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_afiro.mat,51,27,1377,102,true,51,27,1377,102,19,-464.75309787365387,0.008414,true,stop_gap_reached,8,-464.7531424264177,0.0006353,true,6,-464.7531428571429,0.0005061626434326172,true
lp_sc50a.mat,78,50,3900,160,true,78,50,3900,160,35,-64.57507036906364,0.0148959,true,stop_small_ρ,10,-64.57507691306816,0.0009464,true,27,-64.5750770585645,0.0007550716400146484,true
lp_sc50b.mat,78,50,3900,148,true,78,50,3900,148,36,-69.99999814085363,0.022179,true,stop_gap_reached,10,-69.99999878553842,0.0008879,true,14,-69.99999999999999,0.0006189346313476562,true
lp_kb2.mat,68,43,2924,313,false,77,52,4004,331,43,-1714.974395151528,0.0185292,false,stop_small_ρ,14,-1749.9001021580057,0.00129,false,68,-1749.9001299062058,0.0010638236999511719,false
lp_adlittle.mat,138,56,7728,424,true,138,56,7728,424,36,225494.9771822953,0.0157354,true,stop_gap_reached,12,225494.96315590077,0.0014852,true,93,225494.96316238024,0.001458883285522461,true
lp_blend.mat,114,74,8436,522,true,114,74,8436,522,27,-30.812110977868816,0.0423526,true,stop_small_ρ,9,-30.81214858745238,0.0013382,true,93,-30.812149845828216,0.0014910697937011719,true
lp_share2b.mat,162,96,15552,777,true,162,96,15552,777,26,-414.80854766451415,0.0654772,false,stop_small_ρ,11,-415.73223602319155,0.0019434,true,143,-415.73224074141916,0.0021238327026367188,true
lp_sc105.mat,163,105,17115,340,true,163,105,17115,340,72,-52.202056591957735,0.1068184,true,stop_gap_reached,12,-52.20206076077895,0.0016522,true,54,-52.20206121170723,0.0011899471282958984,true
lp_stocfor1.mat,165,117,19305,501,true,165,117,19305,501,43,-41120.10566863075,0.1291991,false,stop_small_ρ,15,-41131.9762172506,0.0020342,true,59,-41131.97621943641,0.0013480186462402344,true
lp_scagr7.mat,185,129,23865,465,true,185,129,23865,465,95,-2.297252896594379e6,0.3023605,true,stop_small_ρ,12,-2.331389824260218e6,0.0019878,true,98,-2.3313898243309837e6,0.0016047954559326172,true
