Problem,N,M,Size,NonZeros,PAS_Iterations,PAS_Cost,PAS_Time,Tulip_Iterations,Tulip_Cost,Tulip_Time,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time
lp_afiro.mat,51,27,1377,102,16,-464.75288736377604,0.0017301,8,-464.7531424264177,0.0007657,6,-464.7531428571429,0.00048613548278808594
lp_sc50a.mat,78,50,3900,160,34,-64.575052498182,0.0077705,10,-64.57507691306816,0.0010372,27,-64.5750770585645,0.0007107257843017578
lp_sc50b.mat,78,50,3900,148,34,-69.9999727794571,0.0077697,10,-69.99999878553842,0.0009317,14,-69.99999999999999,0.0005850791931152344
lp_kb2.mat,68,43,2924,313,36,-1449.1602632047995,0.0119208,14,-1749.9001021580057,0.0012827,68,-1749.9001299062058,0.0009946823120117188
lp_adlittle.mat,138,56,7728,424,22,225514.11397435312,0.0097416,12,225494.96315590077,0.0015299,93,225494.96316238024,0.0014200210571289062
lp_blend.mat,114,74,8436,522,28,-30.812121738797345,0.0200901,9,-30.81214858745238,0.0012912,93,-30.812149845828216,0.0014541149139404297
lp_share2b.mat,162,96,15552,777,38,-397.82798236431626,0.0602171,11,-415.73223602319155,0.0018115,143,-415.73224074141916,0.0020711421966552734
lp_sc105.mat,163,105,17115,340,69,-52.18643998263912,0.1000018,12,-52.20206076077895,0.0015679,54,-52.20206121170723,0.0011577606201171875
lp_stocfor1.mat,165,117,19305,501,51,-41131.67769543061,0.121004,15,-41131.9762172506,0.002011,59,-41131.97621943641,0.001306295394897461
lp_scagr7.mat,185,129,23865,465,35,-2.273844978501131e6,0.0886318,12,-2.331389824260218e6,0.0018292,98,-2.3313898243309837e6,0.0015537738800048828
lp_share1b.mat,253,117,29601,1179,138,-33717.17312001031,0.4463374,25,-76589.31857636516,0.0048835,181,-76589.31857918568,0.002755880355834961
lp_beaconfd.mat,295,173,51035,3408,17,33592.478555048976,0.1211541,9,33592.48580123391,0.0044998,48,33592.4858072,0.0021529197692871094
lp_israel.mat,316,174,54984,2443,97,-189655.84841288853,0.750096,18,-896644.817042642,0.008386,240,-896644.8218630455,0.004189014434814453
lp_lotfi.mat,366,153,55998,1136,52,-25.26320049036413,0.4201817,26,-25.264705959924072,0.0075718,140,-25.264706061880002,0.002444744110107422
lp_scsd1.mat,760,77,58520,2388,21,8.66666974301391,0.0772361,9,8.666666673708898,0.007115,86,8.666666674333365,0.002355813980102539
lp_sc205.mat,317,205,64985,665,131,-44.9288806464213,1.3387224,13,-52.20204335018235,0.0064701,124,-52.20206121170721,0.00225830078125
lp_recipe.mat,204,91,18564,687,48,-266.6159564233456,0.5124179,9,-266.61599997943085,0.0019844,19,-266.616,0.0013077259063720703
lp_brandy.mat,303,220,66660,2202,21,4.079133672308548,0.2691369,14,1518.5098969725213,0.0049093,187,1518.5098964881279,0.0038487911224365234
lp_bore3d.mat,334,233,77822,1448,1,1129.86278,0.0068499,16,1373.0804272301962,0.0026449,33,1373.0803942084926,0.001641988754272461
lp_e226.mat,472,223,105256,2768,72,-18.715822786611813,1.3242383,18,-18.751928205318574,0.0081721,364,-18.751929066370547,0.007009983062744141
