set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set O := 3 11;
set D := 5 8 12 13 14 17 18 19 21 23;

set A :=
	(1,2) (1,4)
	(2,1) (2,3)
	(3,2) (3,6) (3,7)
	(4,1) (4,9)
	(5,4) (5,6) (5,10)
	(6,5) (6,3) (6,14)
	(7,3) (7,14) (7,19)
	(8,9) (8,11)
	(9,4) (9,8) (9,10) (9,12)
	(10,9) (10,13)
	(11,8) (11,12) (11,22)
	(12,9) (12,11) (12,13) (12,15)
	(13,10) (13,12) (13,14) (13,15) (13,17)
	(14,6) (14,7) (14,18)
	(15,12) (15,16)
	(16,17) (16,22)
	(17,13) (17,16) (17,18) (17,20)
	(18,17) (18,14) (18,21)
	(19,24)
	(20,17) (20,21) (20,22) (20,23)
	(21,20) (21,24)
	(22,16) (22,11) (22,20) (22,23)
	(23,20) (23,22) (23,24)
	(24,19) (24,21) (24,23)
;

# Transpose previous param
param g: 5   8   12  13  14  17  18  19  21  23 :=
	3	 50	 50	 50	 50	 50	 50	 50	 50	 50  50
	11	 50	 50	 50	 50	 50	 50	 50	 50	 50  50
;


# Coordinates
param: 		XC  	YC:= 	
	1 		2 		1
	2 		3 		1
	3 		4 		1
	4 		2 		2
	5 		3 		2
	6 		4 		2
	7 		5 		2
	8 		1 		3
	9 		2 		3
	10 		3 		3
	11 		1 		4
	12 		2 		4
	13 		3 		4
	14 		4 		4
	15 		2.5 	5
	16 		2 		6
	17 		3 		6
	18 		4 		6
	19 		5 		6
	20 		3 		7
	21 		4 		7
	22 		1 		8
	23 		3 		8
	24 		4 		8
;

