tf :=
1  4    20000
2  1    20000
2  3        1.09525e-11
3  2    20000
3  6    40037.3
3  7    39962.7
4  9    20000
5  10   10000
6  5    30000
6  14   20037.3
7  3       -1.09525e-11
7  14   19540.4
7  19   20422.4
8  9     1340.66
9  8    10000
9  10    1340.66
9  12   10000
10 13   11340.7
11 8    11340.7
11 12   49334.4
11 22   39325
12 13   34885.4
12 15    4448.98
13 14   20000
13 17    6226.06
14 6    10000
14 18   29577.6
15 16    4448.98
16 17    9499.22
17 18   10000
18 17   10000
18 21    9577.64
19 24   10422.4
20 17    4274.73
20 21   10000
22 16    5050.24
22 20   14274.7
22 23   20000
23 24   10000
24 19   10000
24 21     422.36
24 23   10000
;

